titre,entreprise,localisation,competences_cles,niveau_etudes_requis,niveau_experience,contrat_propose,date_publication,lien
Assistante Administrative et Commerciale  - Casablanca,TECTRA CASA BOURGOGNE – RECRUTEMENT,Casablanca-Mohammedia,"['Comptabilité ', ' Devis ', ' Finance ', ' Gestion ', ' Vente']","Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,Intérim,15.01.2025,https://www.emploi.ma/offre-emploi-maroc/assistante-administrative-commerciale-casablanca-8733511
Assistante SAV,PROFESSIONAL LABO,Casablanca-Mohammedia,"['Achats ', ' Assistanat ', ' Gestion des Commandes ', "" Processus d'Achats "", ' Secrétariat']",Bac+3,Expérience entre 2 ans et 5 ans,CDI,15.01.2025,https://www.emploi.ma/offre-emploi-maroc/assistante-sav-8361047
Standardiste - Casablanca,N/A,Casablanca-Mohammedia,"['Accueil Physique ', ' Assistanat ', ' Secrétariat']",Bac+3,Expérience entre 2 ans et 5 ans,CDI,15.01.2025,https://www.emploi.ma/offre-emploi-maroc/standardiste-casablanca-8553546
Responsable Marketing Direct - Casablanca,ENI,Casablanca-Mohammedia,"['Communication ', ' Comptabilité ', ' Gestion ', "" Gestion d'Équipe "", ' Marketing ', ' Marketing Direct ', ' Vente']",Bac+4 & Bac+5 et plus,Expérience entre 2 ans et 5 ans et plus,CDI,15.01.2025,https://www.emploi.ma/offre-emploi-maroc/responsable-marketing-direct-casablanca-8733332
Superviseur Marketing Direct - Casablanca,ENI,Casablanca-Mohammedia,"['Comptabilité ', ' Finance ', ' Gestion ', ' Vente']","Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,CDI,15.01.2025,https://www.emploi.ma/offre-emploi-maroc/superviseur-marketing-direct-casablanca-8733318
"Développeur Junior Python, JavaScript, XML et PostgreSQL - Casablanca",CALLIOPE,Casablanca-Mohammedia,"['API ', ' JAVASCRIPT ', ' POSTGRESQL ', ' PYTHON ', ' REST ', ' XML']","Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans,CDI,15.01.2025,https://www.emploi.ma/offre-emploi-maroc/developpeur-junior-python-javascript-xml-postgresql-casablanca-8733293
Comptable - Casablanca,ENI,Casablanca-Mohammedia,"['Comptabilité ', ' Comptabilité Fournisseurs ', ' Écritures Comptables ', ' Gestion']","Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,CDI,15.01.2025,https://www.emploi.ma/offre-emploi-maroc/comptable-casablanca-8733277
Gestionnaire Achats - Casablanca,ENI,Casablanca-Mohammedia,"['Achats ', ' Stockage ', ' Stocks ', ' Transport ', ' Vente']","Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,CDI,15.01.2025,https://www.emploi.ma/offre-emploi-maroc/gestionnaire-achats-casablanca-8733273
Électricien Industriel - Casablanca Et Région,TECTRA,Casablanca-Mohammedia,"['Câblage ', ' Électromécanique ', ' Machines ', ' Maintenance ', ' Maintenance Industrielle ', ' Qualité']","Bac+2, Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,Intérim,15.01.2025,https://www.emploi.ma/offre-emploi-maroc/electricien-industriel-casablanca-region-8733272
Gestionnaire Moyens Généraux - Casablanca,ENI,Casablanca-Mohammedia,"['Achats ', ' Transport ', ' Vente']",Bac+4 & Bac+5 et plus,Expérience entre 2 ans et 5 ans et plus,CDI,15.01.2025,https://www.emploi.ma/offre-emploi-maroc/gestionnaire-moyens-generaux-casablanca-8733268
